Country,MAPE,Last density,Last Active
27057,1.1621416,2.328759,392
22107,2.636141,2.8243601,96
19059,2.1144872,6.8511763,958
55125,2.7820656,5.4656754,1000
48415,6.091885,1.7199403,219
1007,4.0473423,1.28724,229
6071,1.2411543,6.1921721,98560
51683,2.605135,9.2298489,2778
20209,2.231114,4.3100924,5150
28095,1.8268526,0.92864656,256
19085,1.3612194,2.2645679,246
6041,1.6915523,19.915457,41318
29007,4.595354,1.9649985,384
48441,1.4582887,4.5570941,4716
8123,2.2940059,6.8169246,15894
17025,2.0256796,1.7939417,183
19147,2.42208,1.7607683,121
51143,3.33553,1.2747359,630
26087,5.9441404,3.1761723,2217
51059,0.6402663,12.238459,107602
17129,1.5443149,2.4897573,237
32003,2.2360644,21.977432,376291
48207,1.3609803,0.83780879,39
31149,1.7899878,2.7678571,31
51770,0.5631088,4.9835353,3844
17081,8.434007,2.3304868,685
42043,1.6684483,5.1987782,11165
26065,0.53542954,5.855474,13673
53065,7.280375,4.8632388,1730
49017,1.6836697,5.5788369,213
48329,4.9888144,5.6571207,6916
55051,0.7773122,2.4148607,117
20169,0.7235966,3.1714449,1323
35039,2.1797972,2.5896881,776
48133,4.5840573,3.2940361,475
53007,5.703312,8.2183838,4820
1085,1.887093,1.4121,109
20107,2.624409,2.8598032,215
18047,8.316351,1.8147252,315
26065,1.3695161,5.855474,13673
30021,3.0090516,2.6508095,185
29047,1.9954833,6.0060849,11233
49025,8.624703,14.77387,882
19067,2.2490633,2.1935589,267
2070,1.4686054,1.7099056,58
20167,6.0126743,2.2363026,120
47005,2.2663097,3.0699041,397
27139,1.3249433,6.8424797,7309
47065,3.8646514,7.3707571,21288
17163,3.1027186,3.7936175,7582
48499,1.4630493,5.1146822,1862
20117,2.2391255,3.2336626,239
26125,1.0359404,18.787241,186432
46119,9.758447,3.000968,31
55081,5.42757,2.4004176,828
49005,1.2304711,9.1521959,8064
27013,0.9484162,4.5351977,2452
1027,8.764486,1.5829384,167
54015,11.367571,0.79400748,53
27167,1.686225,3.2455604,159
40135,1.2143555,1.8216712,579
19003,3.4941747,2.0443521,59
21137,8.369032,1.5024328,281
37127,1.5943692,4.1150975,3029
48151,11.633235,1.7964072,54
13289,4.0403733,1.9515885,129
27125,3.0872545,1.5211641,46
5011,10.506558,0.98913175,81
54059,2.0762873,0.75090486,139
38095,2.1191542,0.98209125,17
56007,1.4478545,2.4331319,282
55131,2.8042576,6.4041133,6776
1031,1.8585507,2.2163165,884
48203,0.9222406,2.3981202,1194
18007,4.3856163,3.3425329,218
5101,1.7799304,2.3947284,149
36027,2.5344396,7.688529,18312
51043,72.46797,8.7612514,1022
31083,7.032898,1.9062142,50
29059,17.619831,3.8368745,493
48133,5.078221,3.2940361,475
21095,6.473866,0.69016516,140
8071,4.3879905,3.7593985,440
54087,2.037279,1.2342268,134
51049,1.9204272,1.1363636,90
36031,1.6217418,4.4332929,1387
21233,10.394139,0.86034411,86
5039,2.5818415,0.66095036,37
5001,3.6780899,1.7232567,236
17009,1.9640968,1.6986706,92
18037,0.56230885,3.0679805,987
46125,7.571063,2.718601,171
27047,1.1877403,2.5016818,595
37181,1.3617737,2.1418498,729
13175,4.756603,2.1527953,769
51193,1.8139104,2.8610823,415
35019,8.145378,1.1458915,41
30099,3.735386,4.0155439,186
5033,1.2981185,2.5179403,1200
8119,1.481761,9.5228891,1970
