Country,tf_dense_MAPE,LR_MAPE,SV_MAPE,XGBR_MAPE,category
1001,1.5046142,0.9922706,1.8352323,1.9835591,LR
1003,4.143341,4.3175893,5.230218,5.321415,tf_dense
1005,1.3951837,1.8339432,1.1014161,1.0447018,XGBR
1007,5.2287483,4.2599897,3.5740824,3.7172093,SV
1009,1.4422444,1.2852771,2.1165414,2.1599343,LR
1011,7.46148,10.230007,7.46352,7.63864,tf_dense
1013,8.95893,5.2446933,6.244084,6.2583895,LR
1015,3.481473,2.1076884,1.7933587,1.8586868,SV
1017,6.8063617,3.4001515,3.3153582,3.5243685,SV
1019,7.121981,15.852276,13.815006,13.501255,tf_dense
1021,3.5372872,2.193737,4.0838113,4.231188,LR
1023,8.689629,3.9188974,7.057441,7.044918,LR
1025,15.49454,12.431952,11.966505,11.90469,XGBR
1027,9.018495,2.032444,1.9824591,1.893073,XGBR
1029,3.0544477,2.2678783,3.047518,3.1061308,LR
1031,3.2273698,2.894658,2.7878826,2.8457847,SV
1033,4.945056,3.4911976,3.081188,3.2194912,SV
1035,23.622805,17.266869,6.9646506,6.8209248,XGBR
1037,7.1273537,5.2499456,8.888418,8.874391,LR
1039,1.7433189,2.6153555,1.4507134,1.3043547,XGBR
1041,10.262156,7.231909,7.169795,7.335018,SV
1043,2.6323743,1.9152578,2.2625372,2.3036008,LR
1045,3.4758854,1.5657226,2.3597467,2.3918576,LR
1047,3.9287508,0.8766552,2.2540064,2.4126785,LR
1049,2.0229108,2.821794,1.9274391,1.8718816,XGBR
1051,8.2089,1.6835623,1.5967928,1.6262472,SV
1053,8.391535,6.7688866,6.7521734,6.901829,SV
1055,6.2464366,7.007106,7.661909,7.6726704,tf_dense
1057,8.340091,8.167392,1.1999221,1.2171706,SV
1059,9.333858,3.892168,5.1814036,5.370463,LR
1061,1.4902871,1.5553282,2.6404078,2.6844702,tf_dense
1063,8.013791,4.694699,4.4206805,4.43551,SV
1065,3.779508,4.211171,1.7455376,1.7424729,XGBR
1067,2.1399949,2.227086,1.0504736,1.0152985,XGBR
1069,1.3476565,1.0798212,1.0419337,1.0599282,SV
1071,2.3418787,1.1752685,0.7687148,0.7330359,XGBR
1073,1.6518133,0.99598354,1.3418263,1.4631449,LR
1075,3.3863976,3.520296,4.7666454,4.7372036,tf_dense
1077,1.048487,0.8023969,1.0718118,1.0666475,LR
1079,1.478522,1.2666624,0.71492904,0.70645076,XGBR
1081,3.5253599,2.799062,2.4020975,2.468799,SV
1083,0.80706656,0.8390256,0.9612881,1.0036027,tf_dense
1085,2.2848222,5.0715933,1.6583128,1.661649,SV
1087,6.0201573,3.062282,3.0286875,3.2147527,SV
1089,0.9327816,0.77071667,0.95993143,0.9780291,LR
1091,2.4147916,2.1597872,1.1256787,1.1558251,SV
1093,0.48916173,3.130395,0.93960327,0.90971607,tf_dense
1095,4.060622,2.8655407,2.8011634,2.930536,SV
1097,1.5335376,2.561259,2.7442546,2.7480764,tf_dense
1099,3.2619014,2.1900556,3.1742125,3.2142878,LR
1101,0.6948673,0.47046876,0.57634485,0.57544076,LR
1103,5.820904,4.9120145,2.8290343,2.820708,XGBR
1105,10.302596,17.514217,9.1418295,9.185818,SV
1107,1.8479533,0.95491695,2.724604,2.6799388,LR
1109,2.4969556,2.137499,2.5232725,2.5989935,LR
1111,43.718002,3.8035593,9.492798,9.834469,LR
1113,4.294221,4.253868,4.8010826,4.797728,LR
1115,3.7177484,3.2742321,2.774642,2.8103526,SV
1117,5.224835,3.7193344,2.6826096,2.7058716,SV
1119,2.1907854,7.4506493,8.135526,8.028336,tf_dense
1121,0.95417285,2.322577,2.8345733,2.814844,tf_dense
1123,8.824977,9.024829,8.683615,8.680039,XGBR
1125,38.82513,6.6799545,2.9858344,2.9828398,XGBR
1127,3.71416,2.2625718,2.2011037,2.332028,SV
1129,2.0518947,2.2175887,1.639127,1.646579,SV
1131,5.1758604,3.361418,6.6591406,6.820969,LR
1133,31.8654,31.447512,31.463428,31.452942,LR
2013,8.918863,1.8915765,1.9230757,1.9904355,LR
2016,4.5294046,5.0493026,3.3926435,3.4032986,SV
2020,2.93874,2.0868526,1.7580618,1.8696934,SV
2050,6.8576174,3.551026,5.124181,5.3089085,LR
2060,17.75494,2.8869882,5.819419,5.736575,LR
2068,4.3145204,1.8457923,1.9235634,1.943018,LR
2070,1.2792656,2.3291116,3.764154,3.6996524,tf_dense
2090,6.566993,4.0482545,1.6154464,1.7185252,SV
2100,7.1852593,10.361106,3.343208,3.4315102,SV
2105,1.2517796,1.9910249,0.66918164,0.6694529,SV
2110,5.645167,3.7747629,3.0382237,3.149435,SV
2122,5.3625016,9.272988,8.123926,8.096933,tf_dense
2130,0.6353552,1.3897865,0.755508,0.75182706,tf_dense
2150,3.182108,2.0089693,2.310027,2.3576565,LR
2164,35.525543,20.515207,21.339285,21.416792,LR
2170,0.92308384,2.7137122,3.0663233,3.1012638,tf_dense
2180,2.2256744,1.142086,1.757928,1.7928283,LR
2185,3.0494452,2.2100985,3.7480369,3.741524,LR
2188,18.246477,25.648949,18.63113,18.523026,tf_dense
2195,1.3497075,0.9849282,1.6006645,1.7181717,LR
2198,2.6029382,3.1033165,1.6606729,1.6041123,XGBR
2220,2.8903174,1.7231629,1.0010129,1.002225,SV
2230,7.3514543,5.462874,3.5780952,3.5686564,XGBR
2240,4.968639,8.520763,10.181017,10.290094,tf_dense
