Country,MAPE,Density,Active,forecast,category,LR_MAPE,SV_MAPE
1001,1.5046142,3.4638555,1472,"[3.3091352  3.31727028 3.32801533 3.33693123 3.34918165 3.35909629
 3.36787772 3.38717437]",LR,0.9922706,1.8352323
1003,4.143341,8.3597984,14320,"[7.85833788 7.88518858 7.90744925 7.90828514 7.92306519 7.95488024
 7.94168091 7.93072176]",tf_dense,4.3175893,5.230218
1005,1.3951837,1.2320744,244,"[1.16141069 1.16513038 1.17019248 1.18426347 1.1889627  1.20000029
 1.20941377 1.21741855]",SV,1.8339432,1.1014161
1007,5.2287483,1.28724,229,"[1.22299695 1.22010887 1.22093809 1.21361172 1.21339023 1.2117362
 1.21089602 1.2091614 ]",SV,4.2599897,3.5740824
1009,1.4422444,1.8317825,813,"[1.75237012 1.76360607 1.77065146 1.7765491  1.78638756 1.79840112
 1.80682611 1.82219172]",LR,1.2852771,2.1165414
1011,7.46148,0.98809224,78,"[0.87990826 0.8720957  0.87901771 0.8711943  0.87838662 0.86780196
 0.87508065 0.86881965]",tf_dense,10.230007,7.46352
1013,8.95893,2.1859705,335,"[1.72767103 1.75409222 1.85380721 1.85598934 1.86422801 1.88472807
 1.9002775  1.89914834]",LR,5.2446933,6.244084
1015,3.481473,2.8005137,2508,"[2.68969178 2.67438102 2.65987802 2.64892817 2.64725757 2.64115
 2.64438272 2.64293075]",SV,2.1076884,1.7933587
1017,6.8063617,1.4425437,382,"[1.37015498 1.37663233 1.38081324 1.38565242 1.39321911 1.38766563
 1.39767385 1.40301144]",SV,3.4001515,3.3153582
1019,7.121981,1.117345,235,"[1.24066293 1.24902189 1.24795675 1.25634181 1.25097632 1.24657524
 1.24871647 1.24744368]",tf_dense,15.852276,13.815006
1021,3.5372872,1.8132015,609,"[1.65174651 1.66694748 1.67378104 1.69678736 1.70361292 1.71781015
 1.72644067 1.74918544]",LR,2.193737,4.0838113
1023,8.689629,1.6851181,172,"[1.39237964 1.40970206 1.41454363 1.45205736 1.45868492 1.49331522
 1.4993571  1.52089798]",LR,3.9188974,7.057441
1025,15.49454,1.3526518,253,"[1.0272094  1.02686048 1.03124571 1.02603006 1.03545725 1.03540814
 1.03376997 1.03933108]",SV,12.431952,11.966505
1027,9.018495,1.5829384,167,"[1.49801612 1.49792135 1.49798739 1.50161386 1.50488746 1.4864068
 1.50271869 1.50102055]",SV,2.032444,1.9824591
1029,3.0544477,1.3555517,157,"[1.28555703 1.2863946  1.28884089 1.29041243 1.29197216 1.29760468
 1.29906297 1.30315006]",LR,2.2678783,3.047518
1031,3.2273698,2.2163165,884,"[2.08206367 2.08254576 2.08310747 2.08107781 2.08321118 2.08238459
 2.08634996 2.09164166]",SV,2.894658,2.7878826
1033,4.945056,2.441494,1061,"[2.24633622 2.24435282 2.24672198 2.24546146 2.24665785 2.24145579
 2.24775434 2.24600625]",SV,3.4911976,3.081188
