Country,MAPE,Density,Active,forecast
1001,1.5046142,3.4638555,1472,"tf.Tensor(
[3.3091352 3.3172703 3.3280153 3.3369312 3.3491817 3.3590963 3.3678777
 3.3871744], shape=(8,), dtype=float32)"
1003,4.143341,8.3597984,14320,"tf.Tensor(
[7.858338  7.8851886 7.9074492 7.908285  7.923065  7.95488   7.941681
 7.9307218], shape=(8,), dtype=float32)"
1005,1.3951837,1.2320744,244,"tf.Tensor(
[1.1614107 1.1651304 1.1701925 1.1842635 1.1889627 1.2000003 1.2094138
 1.2174186], shape=(8,), dtype=float32)"
1007,5.2287483,1.28724,229,"tf.Tensor(
[1.222997  1.2201089 1.2209381 1.2136117 1.2133902 1.2117362 1.210896
 1.2091614], shape=(8,), dtype=float32)"
1009,1.4422444,1.8317825,813,"tf.Tensor(
[1.7523701 1.7636061 1.7706515 1.7765491 1.7863876 1.7984011 1.8068261
 1.8221917], shape=(8,), dtype=float32)"
1011,7.46148,0.98809224,78,"tf.Tensor(
[0.87990826 0.8720957  0.8790177  0.8711943  0.8783866  0.86780196
 0.87508065 0.86881965], shape=(8,), dtype=float32)"
1013,8.95893,2.1859705,335,"tf.Tensor(
[1.727671  1.7540922 1.8538072 1.8559893 1.864228  1.8847281 1.9002775
 1.8991483], shape=(8,), dtype=float32)"
1015,3.481473,2.8005137,2508,"tf.Tensor(
[2.6896918 2.674381  2.659878  2.6489282 2.6472576 2.64115   2.6443827
 2.6429307], shape=(8,), dtype=float32)"
1017,6.8063617,1.4425437,382,"tf.Tensor(
[1.370155  1.3766323 1.3808132 1.3856524 1.3932191 1.3876656 1.3976738
 1.4030114], shape=(8,), dtype=float32)"
1019,7.121981,1.117345,235,"tf.Tensor(
[1.2406629 1.2490219 1.2479568 1.2563418 1.2509763 1.2465752 1.2487165
 1.2474437], shape=(8,), dtype=float32)"
1021,3.5372872,1.8132015,609,"tf.Tensor(
[1.6517465 1.6669475 1.673781  1.6967874 1.7036129 1.7178102 1.7264407
 1.7491854], shape=(8,), dtype=float32)"
1023,8.689629,1.6851181,172,"tf.Tensor(
[1.3923796 1.4097021 1.4145436 1.4520574 1.4586849 1.4933152 1.4993571
 1.520898 ], shape=(8,), dtype=float32)"
1025,15.49454,1.3526518,253,"tf.Tensor(
[1.0272094 1.0268605 1.0312457 1.0260301 1.0354573 1.0354081 1.03377
 1.0393311], shape=(8,), dtype=float32)"
1027,9.018495,1.5829384,167,"tf.Tensor(
[1.4980161 1.4979213 1.4979874 1.5016139 1.5048875 1.4864068 1.5027187
 1.5010206], shape=(8,), dtype=float32)"
1029,3.0544477,1.3555517,157,"tf.Tensor(
[1.285557  1.2863946 1.2888409 1.2904124 1.2919722 1.2976047 1.299063
 1.30315  ], shape=(8,), dtype=float32)"
1031,3.2273698,2.2163165,884,"tf.Tensor(
[2.0820637 2.0825458 2.0831075 2.0810778 2.0832112 2.0823846 2.08635
 2.0916417], shape=(8,), dtype=float32)"
1033,4.945056,2.441494,1061,"tf.Tensor(
[2.2463362 2.2443528 2.246722  2.2454615 2.2466578 2.2414558 2.2477543
 2.2460063], shape=(8,), dtype=float32)"
1035,23.622805,1.095947,106,"tf.Tensor(
[1.2744629 1.4016849 1.4664849 1.3919457 1.3797245 1.4321009 1.4850321
 1.3514744], shape=(8,), dtype=float32)"
1037,7.1273537,0.82838911,74,"tf.Tensor(
[0.70595896 0.70367837 0.70472574 0.70479524 0.71696925 0.7218455
 0.72073996 0.7333448 ], shape=(8,), dtype=float32)"
1039,1.7433189,1.6845804,489,"tf.Tensor(
[1.6762586 1.681322  1.6882875 1.6961471 1.699864  1.7032512 1.7102813
 1.7158664], shape=(8,), dtype=float32)"
1041,10.262156,1.0612549,114,"tf.Tensor(
[0.9872607  0.98994994 0.99020994 0.9878802  0.99362177 0.9892104
 0.9886495  0.9926825 ], shape=(8,), dtype=float32)"
1043,2.6323743,2.6872737,1737,"tf.Tensor(
[2.5651646 2.5687602 2.5702324 2.5727527 2.5786824 2.575943  2.584552
 2.5937543], shape=(8,), dtype=float32)"
1045,3.4758854,1.7595617,668,"tf.Tensor(
[1.6872807 1.6817635 1.6812503 1.6819876 1.6843976 1.6934526 1.6882148
 1.6992266], shape=(8,), dtype=float32)"
1047,3.9287508,1.4739386,427,"tf.Tensor(
[1.3839912 1.3936192 1.3990134 1.4070013 1.4098893 1.4076868 1.4088211
 1.4275575], shape=(8,), dtype=float32)"
1049,2.0229108,2.2713821,1228,"tf.Tensor(
[2.3102937 2.3115282 2.3166099 2.323966  2.3264728 2.3310285 2.335545
 2.331925 ], shape=(8,), dtype=float32)"
1051,8.2089,3.2452056,2056,"tf.Tensor(
[2.9686234 2.9686685 3.0050383 3.0201204 3.0526383 3.067539  3.1337755
 3.2786274], shape=(8,), dtype=float32)"
1053,8.391535,1.948416,556,"tf.Tensor(
[1.6930978 1.6982318 1.7073649 1.7091396 1.7193773 1.7176694 1.7207614
 1.7252328], shape=(8,), dtype=float32)"
1055,6.2464366,2.7364635,2206,"tf.Tensor(
[2.4199862 2.4221854 2.4270203 2.4357088 2.4379692 2.4528062 2.4539113
 2.4625592], shape=(8,), dtype=float32)"
1057,8.340091,1.0514109,136,"tf.Tensor(
[1.4344262 1.1702325 1.1150739 1.0555273 1.0520649 1.0456194 1.0429143
 1.0506806], shape=(8,), dtype=float32)"
1059,9.333858,1.9323264,458,"tf.Tensor(
[1.7531109 1.7567235 1.7670273 1.7927369 1.7964395 1.8389518 1.8494815
 1.8674936], shape=(8,), dtype=float32)"
1061,1.4902871,1.4523023,299,"tf.Tensor(
[1.3832093 1.3849292 1.3930186 1.4001012 1.4096591 1.4152234 1.4192933
 1.4279637], shape=(8,), dtype=float32)"
1063,8.013791,1.4407436,93,"tf.Tensor(
[1.2432591 1.2389667 1.2474655 1.2576196 1.2596121 1.2659433 1.275883
 1.2906268], shape=(8,), dtype=float32)"
1065,3.779508,1.1825964,134,"tf.Tensor(
[1.0591282 1.073789  1.0906464 1.0952282 1.0978396 1.1063585 1.1097605
 1.1119139], shape=(8,), dtype=float32)"
1067,2.1399949,2.4543042,333,"tf.Tensor(
[2.4939053 2.4798963 2.472219  2.4423933 2.4283967 2.4221804 2.4024148
 2.3799326], shape=(8,), dtype=float32)"
1069,1.3476565,3.4243109,2774,"tf.Tensor(
[3.3874385 3.3898494 3.3858762 3.3800497 3.3774471 3.370796  3.3709245
 3.3682206], shape=(8,), dtype=float32)"
1071,2.3418787,1.7799511,728,"tf.Tensor(
[1.726151  1.7374913 1.7502656 1.8187569 1.8320628 1.8413814 1.8482113
 1.8579408], shape=(8,), dtype=float32)"
1073,1.6518133,6.5080609,33078,"tf.Tensor(
[6.3161497 6.325663  6.3306108 6.3274646 6.3475285 6.3332014 6.350503
 6.347999 ], shape=(8,), dtype=float32)"
1075,3.3863976,0.93406087,101,"tf.Tensor(
[0.87379897 0.87989616 0.8761897  0.87937    0.8815494  0.8882184
 0.8839032  0.8932632 ], shape=(8,), dtype=float32)"
1077,1.048487,4.0402412,3012,"tf.Tensor([4.198572 4.19444  4.178958 4.169154 4.160115 4.152859 4.144335 4.139324], shape=(8,), dtype=float32)"
